Model,CV Test R² (mean ± std),CV Test RMSE,CV Test MAE,Holdout Train R²,Holdout Test R²,Holdout Test RMSE,Holdout Test MAE,Holdout Test MAPE (%),raw_cv_test_r2
Tuned Extra Trees (Optimized),0.9564 ± 0.0162,2.993 ± 0.470,2.040 ± 0.346,0.9967288717613239,0.9613430179543977,3.017773421935848,1.9124666341237164,6.64%,0.9564205735257906
Extra Trees,0.9564 ± 0.0162,2.993 ± 0.470,2.040 ± 0.346,0.9967288717613239,0.9613430179543977,3.017773421935848,1.9124666341237164,6.64%,0.9564205735257906
Gradient Boosting,0.9527 ± 0.0181,3.089 ± 0.611,1.914 ± 0.308,0.9993609699936643,0.9489928815003225,3.4664748329515613,1.9020221300999172,6.14%,0.9527381243442157
Random Forest,0.9030 ± 0.0725,4.332 ± 1.737,2.807 ± 0.858,0.9875641829592499,0.9454791420709052,3.5838844352680104,2.310114526685279,10.76%,0.9029742989941768
Tuned Gradient Boosting,0.9393 ± 0.0250,3.511 ± 0.786,2.207 ± 0.491,0.9992864450134346,0.9424943215157314,3.680679670443891,1.9136878679382272,7.78%,0.9393031987622917
Hist Gradient Boosting,0.9055 ± 0.0268,4.466 ± 0.658,3.231 ± 0.503,0.9758515868065728,0.9374366287887521,3.839129199084297,2.8625070778652564,11.20%,0.9055103938433511
Ridge,0.9037 ± 0.0271,4.498 ± 0.496,3.575 ± 0.502,0.9271285347628011,0.9212834554383136,4.30631373750814,3.4942040674426456,12.78%,0.9036738764812441
MLP Regressor,0.8688 ± 0.0408,5.226 ± 0.755,4.065 ± 0.553,0.957375668648643,0.8708551082615145,5.515835082760278,4.2497041710530095,13.57%,0.8687868362020552
SVR (RBF),0.8821 ± 0.0215,5.038 ± 0.590,3.362 ± 0.294,0.9577808033139471,0.8610040012960473,5.72234194076569,3.6620902580272086,20.16%,0.8820741366440801
