Model,CV Test R² (mean ± std),CV Test RMSE,CV Test MAE,Holdout Train R²,Holdout Test R²,Holdout Test RMSE,Holdout Test MAE,Holdout Test MAPE (%),raw_cv_test_r2
QuantileTransformer + Voting Ensemble (Optimized),0.8155 ± 0.1265,16.927 ± 7.551,8.297 ± 2.991,0.9999203148701652,0.9625949104986005,8.156579300605712,5.289862428115255,1.49%,0.815469582861784
QuantileTransformer + Extra Trees,0.8241 ± 0.1055,16.933 ± 6.419,8.693 ± 2.485,0.9980176023898045,0.953272954716341,9.116473496323488,5.849800867545791,1.64%,0.8240937995050441
Gradient Boosting,0.7851 ± 0.1399,18.132 ± 8.170,8.458 ± 3.458,0.9991565428597372,0.9493544228661854,9.491032838059,5.815127570916908,1.62%,0.7850724723427793
Extra Trees,0.8288 ± 0.1106,16.525 ± 6.823,8.226 ± 2.586,0.9948194744755123,0.9388264317510239,10.430968179511533,6.380633582582117,1.78%,0.8287688962525774
Random Forest,0.7546 ± 0.1579,19.569 ± 7.996,9.730 ± 3.029,0.9790214970025962,0.9315043558824307,11.037588296112467,6.43787376769694,1.78%,0.7545669256549384
Hist Gradient Boosting,0.7396 ± 0.1207,20.916 ± 6.533,12.549 ± 2.152,0.9420042970656993,0.9042794253112948,13.048042494838882,9.241451798624617,2.51%,0.7396030582171063
SVR (RBF),0.5555 ± 0.1344,27.647 ± 6.323,16.223 ± 3.228,0.6178417110280346,0.5890427632079049,27.035912366222316,15.296002125292013,3.87%,0.5555395359134098
Ridge,0.4995 ± 0.0927,29.425 ± 4.840,21.419 ± 1.873,0.607361175276928,0.5803450744424141,27.3205146552362,20.858502078509996,5.59%,0.49947182585538547
MLP Regressor,-0.9191 ± 0.3031,57.614 ± 8.619,43.750 ± 5.914,-0.3060200407903142,-0.8490845113595671,57.34837205974129,41.77453575042877,11.13%,-0.9191209593917403
