signal_id,sample_code,scs_label,Ignition_Temp,Spectral Centroid,SNR_raw,Spectral Bandwidth 5,Spectral Entropy 4,Spectral Centroid 3,Kurtosis,RMS value,Absorption Proxy,P2P,Wave Energy 3,Acoustic Velocity,Peak Time,Spectral Centroid 2,Dominant Frequency 1 peak,Spectral Bandwidth 3,Wave Entropy,P2P-TDB3,Peak Duration,Spectral Centroid 4,Dominant Frequency 2 peak
Low_C3_P6_05,C3,Low,412.297,6.213849837480695,22.295443944741212,0.06289851610754481,0.9021644102272445,0.7162609833120902,196.59497662871752,0.0019652364697948154,0.00409991419511619,0.00548275600502051,1.9378863424687663e-11,2380.952380952381,2.52e-06,0.486723853596027,0.30627871362940273,0.05578280049051074,0.9405692213694213,7.489194267197013e-05,1.0901395096203009e-06,0.8793075953549744,0.4594180704441041
Low_C3_P6_10,C3,Low,412.297,6.202263958167321,23.058532475084526,0.05898187180409081,0.9085957870226726,0.72455533371384,192.25395004771036,0.0020086852855966714,0.00412128295367665,0.00547941713649544,1.636517806908322e-11,2459.016393442623,2.44e-06,0.4981096280682512,0.2679938744257274,0.050173353410965627,0.9349796707144594,9.793943932839776e-05,1.1411196045814643e-06,0.8799012566429198,0.4594180704441041
Low_C4_P1_05,C4,Low,439.72,4.387647482241462,22.160596719924733,0.08073394698756796,0.8668616853473005,0.665076781864576,261.16676460454346,0.0023337796593246346,0.0044865551703195,0.00547207162574027,1.1517637183162778e-11,1840.4907975460123,3.26e-06,0.4983615101585407,0.30627871362940273,0.04877806505454587,0.8869713283256626,8.600079260397071e-05,8.006870586061572e-07,0.9225271223371098,0.57427258805513
Low_C4_P1_10,C4,Low,439.72,4.483066610799297,20.98729467177234,0.0749830724667746,0.8736422893265278,0.6682228479742063,276.25610951876155,0.0022529126489220738,0.00441844225240803,0.00549844868708833,9.04304437589313e-12,1840.4907975460123,3.26e-06,0.5065173183778798,0.22970903522205205,0.049942691035013545,0.898465971566745,8.435918707170684e-05,8.131545547853349e-07,0.9209963005570077,0.57427258805513
Low_C4_P2_05,C4,Low,439.72,4.615883091491425,22.013567516743922,0.062210370621499644,0.8695810363796274,0.6612532469561564,268.3652563697134,0.0021563622441688936,0.00427921143491254,0.00553551012771664,9.36231037640038e-12,1666.6666666666667,3.6e-06,0.49109152000858697,0.22970903522205205,0.049197051086346984,0.8969697537604359,9.072814229879809e-05,7.90637880007973e-07,0.8953916651051625,0.4594180704441041
Low_C4_P2_10,C4,Low,439.72,4.571381681114629,21.416239293574215,0.061678603060924826,0.8801433602045765,0.6519374108947189,247.29283985433173,0.0022261132314085014,0.00434598880541398,0.00549243872374321,9.288941356926457e-12,1648.3516483516485,3.64e-06,0.494739969608294,0.22970903522205205,0.04460118777638511,0.8852163123406098,0.0001270059823856268,8.049906746017201e-07,0.8909982378596517,0.4594180704441041
Low_C4_P3_05,C4,Low,439.72,4.555391187100295,20.784129409053634,0.06342335360311842,0.9550877143038389,0.6586025462096882,240.15822076088617,0.002216261994771177,0.00438204858548475,0.0055371795619791695,1.32713632932776e-11,1785.7142857142858,3.36e-06,0.49342737411902027,0.30627871362940273,0.04452358866755676,0.8578932612239708,0.0001516539283655735,8.542146551118648e-07,0.8964485530210975,0.4594180704441041
Low_C4_P3_10,C4,Low,439.72,4.587292644781195,22.134044544114957,0.06208337555591032,0.9534122395384457,0.6633099025554229,282.4699917192459,0.002217553919876191,0.00434632269226648,0.00549778091338332,1.1724838773855809e-11,1775.147928994083,3.38e-06,0.49289625057745046,0.30627871362940273,0.04557905537634309,0.8940763371192573,0.00010050151619466302,9.200697131253071e-07,0.8945974496008969,0.42113323124042873
Low_C4_P4_05,C4,Low,439.72,4.387392880148027,24.002737138041756,0.0881109490283567,0.827575104977846,0.7067757474521883,280.64322484281104,0.0023281393846354,0.00448121298067938,0.00550212144246591,1.0055521145756891e-11,1492.537313432836,4.02e-06,0.5083177957304249,0.2679938744257274,0.05379502131193119,0.9056193625882709,6.697759449220136e-05,9.542796867634784e-07,0.8939322042780423,0.5359877488514548
Low_C4_P4_10,C4,Low,439.72,4.417199017546538,22.9105841668814,0.0886861316251658,0.759420904493852,0.7061244718489584,279.46355266909615,0.0023247477258677273,0.00445516980618383,0.00547273939944529,1.1094872890185244e-11,1554.4041450777202,3.86e-06,0.5151681651947189,0.3828483920367534,0.05412476541414952,0.906695192633092,7.995841223518872e-05,9.243736389157403e-07,0.8962137951095284,0.57427258805513
