signal_id,sample_code,scs_label,Fixed_Carbon,RMS value,P2P,Dominant Frequency 1 peak,Spectral Entropy 2,Dominant Frequency 3 peak,Absorption Proxy,Dominant Frequency 2 peak,SNR_raw,Spectral Entropy 1,Spectral Entropy 3,Spectral Bandwidth 4,Spectral Centroid,Skew Value,SNR_Processed,Spectral Entropy 4,Spectral Centroid 1,Spectral Centroid 2,Spectral Bandwidth 1
Low_C3_P1_05,C3,Low,,0.0019921555194613795,0.00548041879705296,0.30627871362940273,0.8020706327001329,0.6891271056661561,0.00407854543655573,0.42113323124042873,21.85083931528295,0.5953645475366807,0.9322798854450721,0.06245556935376979,6.070013013010489,-5.060616719694859,21.822856505785943,0.9531435946792578,0.3050970503449164,0.47709140426904434,0.04099493861257869
Low_C3_P1_10,C3,Low,,0.0019215216716842775,0.00547574438111787,0.30627871362940273,0.7336987015741437,0.6891271056661561,0.00402478965330208,0.42113323124042873,23.51897557894608,0.6263518372221837,0.9161168746586867,0.06146509989022593,6.186327164139374,-4.924155073074752,24.032152335844966,0.9473128204245936,0.30425952668212897,0.47701726080312457,0.04443998768791171
Low_C3_P2_05,C3,Low,,0.0019092583575343095,0.00549911646079336,0.2679938744257274,0.919514169345874,0.7656967840735068,0.00407353713376812,0.57427258805513,21.012908567847926,0.841325451297685,0.7787620531062528,0.07874435648269457,6.113292245034759,-4.494440278600349,19.09399900966748,0.7484456187215396,0.30957766818315113,0.5113313559479774,0.05039674218129099
Low_C3_P2_10,C3,Low,,0.0019426948263420274,0.005502121442465931,0.2679938744257274,0.8776561849346755,0.7274119448698315,0.00408088264452328,0.57427258805513,23.851297435476667,0.7204247187710644,0.6479640782429582,0.07721641821164923,6.072609679476537,-4.955197799187846,21.673974979524377,0.7205686435971975,0.3043785715488732,0.5163115321295153,0.05037081403192182
Low_C3_P3_05,C3,Low,,0.0019332913550268323,0.00550278921617094,0.30627871362940273,0.8868375538756217,0.7656967840735068,0.00403447237202478,0.57427258805513,19.69092722771847,0.7743238902905668,0.8431511935876707,0.06762280646591921,6.282662828954438,-5.327188939720661,18.520746409526275,0.8739100360725958,0.30784289491969874,0.5005465205947872,0.04574982615444578
Low_C3_P3_10,C3,Low,,0.0019280003345692074,0.00548876596836564,0.30627871362940273,0.9593741860380239,0.7656967840735068,0.00403213516405723,0.57427258805513,21.144501733415023,0.8029166908235398,0.7477549056774886,0.06950765529273396,6.267581117222927,-4.947882383742172,18.00039453097533,0.8720697060656113,0.31194021061524124,0.49926201384321667,0.0464236733654294
Low_C3_P4_05,C3,Low,,0.0020576436168279182,0.00547374106000282,0.34456355283307805,0.9433291075299886,0.7656967840735068,0.00416134937597751,0.42113323124042873,23.984531138525128,0.9372684701935375,0.687571646631939,0.06534801207329533,6.119862034785621,-4.580967391560559,25.271889915108154,0.9209374895627461,0.30460282773795494,0.48847130393184834,0.05034078041102625
Low_C3_P4_10,C3,Low,,0.0019904228277467045,0.00545404173570489,0.30627871362940273,0.9516086969495249,0.7656967840735068,0.00406886271783302,0.49770290964777947,24.423917581702945,0.8633664458997671,0.6955176297526694,0.0660659972918205,6.255170476359645,-4.554223289881609,25.017972801617844,0.9420572173695041,0.30338730304436273,0.5019827952027058,0.05352660321824943
Low_C3_P5_05,C3,Low,,0.0020398666033107794,0.00543935071419457,0.3828483920367534,0.7406855838491345,0.6508422664624809,0.00414498892020465,0.42113323124042873,23.58589778134651,0.6612673508396311,0.9419051192326058,0.06869854801145348,5.906790896995742,-4.148784139030657,22.932219716637533,0.8433130877507535,0.32864371753980093,0.4857588558451044,0.05176492631083323
Low_C3_P5_10,C3,Low,,0.0020535409730513743,0.0055011197819084,0.3828483920367534,0.7960217767552176,0.6508422664624809,0.00420842742218102,0.42113323124042873,21.980939146579527,0.7103843368984601,0.9231157380485483,0.06590781668808667,5.891972039833372,-4.333196712667741,22.617888200084003,0.8249571126511377,0.32178119368989655,0.4884632733576809,0.055486579613953445
