signal_id,sample_code,scs_label,Ash_Content,Area under FFT curve_raw,Magnitude of dominant frequency_raw,Spectral Bandwidth 1_raw,Spectral Bandwidth 2_raw,Spectral Bandwidth 3_raw,Spectral Area 1,Spectral Area 2,Spectral Area 3,Spectral Area 4,Spectral Entropy 1,Spectral Entropy 2,Spectral Entropy 3,Spectral Entropy 4,Absorption Proxy_proc,Peak Time_proc,Rise time_proc,Fall time_proc,Signal Energy_proc,Area under the curve_proc,1st peak magnitude/2nd peak magnitude
Low_C3_P6_05,C3,Low,,0.000284339702217234,2.3305376821459752e-05,0.043137325690678005,0.04997409300783456,0.05578280049051074,1.0245614297754738e-06,1.607043735408181e-06,1.4612128571310487e-06,3.0141763254183515e-06,0.8315161342132199,0.8980805136183548,0.6150510952745438,0.9021644102272445,0.00409991419511619,2.52e-06,3.5750682175102265e-07,1.3947469115576556e-06,2.424415629160881e-06,6.395672590610719e-10,1.4727919346216214
Low_C3_P6_10,C3,Low,,0.0002875040267036009,2.26041295389706e-05,0.052650729203605265,0.050737129347432464,0.050173353410965627,9.066380041877211e-07,1.5207394678891451e-06,1.2898898058781846e-06,2.9970676344178733e-06,0.9713500242371746,0.9242018199041674,0.5345356715438908,0.9085957870226726,0.00412128295367665,2.44e-06,2.856971612216997e-07,2.0902753220537906e-06,2.2710540021502805e-06,6.383383926213235e-10,1.3905890312704121
Low_C4_P1_05,C4,Low,27.94,0.0002632443075674973,1.5779966675534622e-05,0.048627217322037265,0.05543658475777694,0.04877806505454587,1.2698148755946232e-06,1.5255940768015163e-06,1.242884329520313e-06,1.980211514856675e-06,0.6685814637893379,0.9904342425548314,0.8023754546288401,0.8668616853473005,0.0044865551703195,3.26e-06,4.3881065751356237e-07,6.076163962843012e-07,1.824919930468081e-06,6.470241126042361e-10,1.5305053553472958
Low_C4_P1_10,C4,Low,27.94,0.0002599853182305478,1.6529292331645196e-05,0.05027324085927205,0.05586894015710703,0.049942691035013545,1.513313673985512e-06,1.4299149982691511e-06,1.1107039266092683e-06,1.9709063926640403e-06,0.7953662161238718,0.9348507239061563,0.8446455211974578,0.8736422893265278,0.00441844225240803,3.26e-06,4.2576490610792405e-07,5.137317697158477e-07,1.887113407902538e-06,6.782474692656937e-10,1.059836590587901
Low_C4_P2_05,C4,Low,27.94,0.000259700529044478,1.6178202581286036e-05,0.0513615724010864,0.052773256089520174,0.049197051086346984,1.12155615819348e-06,1.2370448189366329e-06,1.0763587211265224e-06,2.116075930239794e-06,0.8663116922604862,0.9652462435632331,0.7305807889855576,0.8695810363796274,0.00427921143491254,3.6e-06,5.073392196811067e-07,1.2364958540931896e-06,2.1759210274529656e-06,6.848541221388851e-10,1.0714181978145678
Low_C4_P2_10,C4,Low,27.94,0.0002622343033555672,1.5693074416851157e-05,0.050397893664951225,0.05397929013632733,0.04460118777638511,1.3763958623677481e-06,1.095761167570123e-06,9.817657252120923e-07,2.2013604642828835e-06,0.8195943448516195,0.8692006697809714,0.5912873636497511,0.8801433602045765,0.00434598880541398,3.64e-06,5.553507223762537e-07,4.2510967305249585e-06,2.5671017512916564e-06,8.093445312412583e-10,1.101162093409088
Low_C4_P3_05,C4,Low,27.94,0.000261181186923427,1.812228855399361e-05,0.03885631798519438,0.050611231848602486,0.04452358866755676,1.4192349462062722e-06,1.5760170571875602e-06,1.1879315514173578e-06,2.0504194498132224e-06,0.6383342283119181,0.9569126859653144,0.6882372517564742,0.9550877143038389,0.00438204858548475,3.36e-06,4.5084335991759486e-07,5.532739808090091e-07,2.2848047363735466e-06,7.984076836029432e-10,1.4015066159339113
Low_C4_P3_10,C4,Low,27.94,0.0002587117489712333,1.563398690431195e-05,0.04677635650183632,0.05391789140024895,0.04557905537634309,1.4795148068841115e-06,1.2792755942993746e-06,1.1070328361888028e-06,2.096954555158285e-06,0.7710419825793339,0.9836100923354467,0.6704286568238768,0.9534122395384457,0.00434632269226648,3.38e-06,5.759844669787612e-07,4.785656706385774e-07,1.639883228307887e-06,6.2469437027376e-10,1.7230467352832797
Low_C4_P4_05,C4,Low,27.94,0.00026472685318538444,1.866104751746902e-05,0.056240250925129145,0.05261616677806168,0.05379502131193119,1.3244698107206295e-06,1.8340186723825532e-06,1.1707738808490512e-06,1.5746719528418667e-06,0.9585718525903146,0.8707997684519937,0.8505787934138116,0.827575104977846,0.00448121298067938,4.02e-06,4.958251101843527e-07,6.783996699960969e-07,1.6197217147330993e-06,5.389682587008019e-10,1.2716667387753395
Low_C4_P4_10,C4,Low,27.94,0.0002637826291540424,1.7139235384218776e-05,0.05845064246694333,0.05332632058168793,0.05412476541414952,1.281116606299925e-06,1.751682050801032e-06,1.1924268517694787e-06,1.3789419028249857e-06,0.9095353045034268,0.8513056138942918,0.8282068438307314,0.759420904493852,0.00445516980618383,3.86e-06,5.035035876259047e-07,1.0325140704046576e-06,1.9349577878032625e-06,6.569603865644046e-10,1.0121186086322922
